Position,ISBN,Title,Contributor,Publisher,Year
1,9781409144571,Six years ,Harlan Coben ,Orion ,2013
2,9780141324920,The last straw ,Jeff Kinney ,Puffin ,2009
3,9780333720004,Monkey puzzle,Julia Donaldson: ill. by Axel Scheffler,Macmillan Children's Books,2000
4,9780141343006,Cabin fever ,Jeff Kinney ,Puffin ,2013
5,9780141331973,Dog days ,Jeff Kinney ,Puffin ,2010
6,9781842550700,Horrid Henry and the abominable snowman ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2007
7,9781409117223,Stay close ,Harlan Coben ,Orion Books Ltd. ,2013
8,9781780890258,Mistress ,James Patterson and David Ellis ,Century ,2013
9,9781780890296,12th of never ,James Patterson and Maxine Paetro ,Century ,2013
10,9780593065747,Never go back ,Lee Child ,Bantam Press ,2013
11,9781846058905,Private down under ,"James Patterson, Michael White ",Century ,2013
12,9780007419999,Three letters ,Josephine Cox ,Harper ,2012
13,9780007279043,The boy in the dress ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2009
14,9781444729740,The racketeer ,John Grisham ,Hodder & Stoughton ,2012
15,9780593065730,A wanted man ,Lee Child ,Bantam ,2012
16,9781407106212,Tiddler ,Julia Donaldson & Axel Scheffler ,Alison Green ,2008
17,9781406305890,Where's Wally? ,Martin Handford ,Walker Books Ltd ,2007
18,9781846057830,"Alex Cross, run ",James Patterson ,Century ,2013
19,9781409113997,A week in winter ,Maeve Binchy ,Orion ,2012
20,9780434021154,Bones of the lost ,Kathy Reichs ,William Heinemann ,2013
21,9781780890234,Second honeymoon ,James Patterson ,Century ,2013
22,9781409144717,Standing in another man's grave ,Ian Rankin ,Orion ,2012
23,9781842551325,Horrid Henry robs the bank ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2008
24,9780718159009,Forgive me ,Lesley Pearse ,Michael Joseph ,2013
25,9781409136309,The drop ,Michael Connelly ,Orion ,2012
26,9780141324906,Diary of a wimpy kid ,Jeff Kinney ,Puffin ,2008
27,9781444729764,The racketeer ,John Grisham ,Hodder & Stoughton ,2013
28,9781846059971,Unseen ,Karin Slaughter ,Century ,2013
29,9780749958114,Whiskey Beach ,Nora Roberts ,Piatkus ,2013
30,9781444000153,Horrid Henry's monster movie ,Francesca Simon; ill. by Tony Ross ,Orion Children's ,2012
31,9781780890678,NYPD Red ,James Patterson ,Century ,2012
32,9780330520324,The innocent ,David Baldacci ,Pan ,2012
33,9781406305869,Where's Wally Now? ,Martin Handford ,Walker Books Ltd ,2007
34,9781780890173,Private Berlin ,James Patterson with Mark T Sullivan ,Century ,2013
35,9781408704202,The casual vacancy ,JK Rowling ,Little Brown ,2012
36,9781444766639,The storyteller ,Jodi Picoult ,Hodder& Stoughton ,2013
37,9781780890098,Gone ,James Patterson ; Michael Ledwidge ,Century ,2013
38,9781406305883,Where's Wally? In Hollywood ,Martin Handford ,Walker Books Ltd ,2007
39,9780727882561,A place of hope ,Anna Jacobs ,Severn House ,2013
40,9780099550174,Kill me if you can ,James Patterson ,Arrow Books ,2012
41,9780141329444,"My best, best friend ",Characters created by Lauren Child ; [text based on the script w> ,Puffin ,2010
42,9781409109402,Standing in Another Man's Grave ,Ian Rankin ,Orion Publishing Co ,2013
43,9780553825527,A wanted man ,Lee Child ,Bantam ,2013
44,9780099550167,Private - no. 1 suspect ,James Patterson ; Maxine Paetro ,Arrow Books ,2013
45,9780552776424,The soldier's wife ,Joanna Trollope ,Black Swan ,2012
46,9780593072493,Inferno ,Dan Brown ,Bantam ,2013
47,9780749953089,Mindfulness : a practical guide to finding peace in a fran> ,Mark Williams and Danny Penman ,Piatkus ,2011
48,9780007493975,Billionaire boy ,David Walliams; ill. by Tony Ross ,HarperCollins ,2013
49,9780330520331,The forgotten ,David Baldacci ,Pan Books ,2013
50,9781409141419,Never saw it coming ,Linwood Barclay ,Orion ,2013
51,9781409144748,Saints of the shadow bible ,Ian Rankin ,Orion ,2013
52,9781405004770,A squash and a squeeze ,Julia Donaldson; ill. by Axel Scheffler ,Macmillan Children's ,2003
53,9781409134312,The black box ,Michael Connelly ,Orion ,2012
54,9781842551349,Horrid Henry rocks ,Francesca Simon; ill. by Tony Ross ,Orion Children's Books ,2010
55,9780099550280,Criminal ,Karin Slaughter ,Arrow Books ,2013
56,9780099550198,11th hour ,James Patterson and Maxine Paetro ,Arrow ,2013
57,9781847383013,Aliens in underpants save the world ,Claire Freedman; ill. by Ben Cort ,Simon & Schuster Children,2009
58,9781472103024,Death of a Kingfisher ,M.C. Beaton ,Constable and Robinson,2013
59,9780007279067,Mr Stink ,David Walliams; ill. by Quentin Blake ,HarperCollins Children's ,2010
60,9780755391097,Daughters of the Mersey ,Anne Baker ,Headline ,2013
61,9780718197827,George catches a cold , ,Ladybird ,2012
62,9780241961490,Forgive me ,Lesley Pearse ,Penguin ,2013
63,9781447225287,The hit ,David Baldacci ,Macmillan ,2013
64,9780749013899,Heir to greyladies ,Anna Jacobs ,Allison & Busby ,2013
65,9780857631466,Shifty McGifty and Slippery Sam ,Tracey Corderoy; ill. by Steven Lenton ,Nosy Crow ,2013
66,9781407108827,Stick man ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green ,2009
67,9781780890692,"Merry Christmas, Alex Cross ",James Patterson ,Century ,2012
68,9780727880468,Moving on ,Anna Jacobs ,Severn House ,2011
69,9780593065709,The affair ,Lee Child ,Bantam ,2011
70,9780230749283,The forgotten ,David Baldacci ,Macmillan ,2012
71,9780192792655,Ready Steady Ghost ,Elizabeth Baguley ,Oxford University Press ,2011
72,9781409135418,The Hidden Cottage ,Erica James ,Orion ,2013
73,9780007452231,A devil is waiting ,Jack Higgins ,Harper ,2012
74,9781409120315,Trust your eyes ,Linwood Barclay ,Orion ,2013
75,9781780331034,Death of yesterday ,M.C. Beaton ,C&R Crime ,2013
76,9780755356973,Funeral note ,Quintin Jardine ,Headline ,2013
77,9780330520317,Zero day ,David Baldacci ,Pan ,2012
78,9781444765564,Sycamore Row ,John Grisham ,Hodder & Stoughton ,2013
79,9781409136293,The impossible dead ,Ian Rankin ,Orion ,2012
80,9780553820522,Last to die ,Tess Gerritsen ,Bantam Books ,2013
81,9780099576433,NYPD Red ,James Patterson ; Marshall Karp ,Arrow Books,2013
82,9781407132044,Superworm ,Julia Donaldson; ill. by Axel Scheffler ,Alison Green,2012
83,9780593063149,Until the end of time ,Danielle Steel ,Bantam,2013
84,9781406340075,What's in the witch's kitchen? ,Nick Sharratt ,Walker,2012
85,9780552774406,I've got your number ,Sophie Kinsella ,Black Swan,2012
86,9780099550181,Guilty wives ,James Patterson and David Ellis ,Arrow Books,2013
87,9781842551332,Horrid Henry wakes the dead ,Francesca Simon; ill. by Tony Ross,Orion Children's ,2009
88,9781780890135,Cross my heart ,James Patterson ,Cornerstone Digital,2013
89,9780333982235,The snail and the whale,Julia Donaldson: ill Axel Scheffler,Macmillan Children's,2003
90,9780751544039,Rush of blood ,Mark Billingham ,Sphere,2013
91,9781409130840,The Hidden Cottage ,Erica James ,Orion,2013
92,9780330477598,The secret keeper ,Kate Morton ,Pan Books,2013
93,9780099539148,Summer of love ,Katie Fforde ,Arrow,2012
94,9780099539179,Recipe for love ,Katie Fforde ,Arrow,2013
95,9780007371464,Gangsta granny ,David Walliams; ill. by Tony Ross ,HarperCollins Children's,2012
96,9781842550694,Horrid Henry and the megamean time machine ,Francesca Simon; ill. by Tony Ross ,Dolphin,2005
97,9780192726452,Winnie in winter ,Korky Paul and Valerie Thomas ,Oxford University Press,2006
98,9781444704914,Children of the revolution,Peter Robinson ,Hodder & Stoughton,2013
99,9781847382092,Dinosaurs love underpants,Claire Freedman; ill. by Ben Cort,Simon & Schuster ,2008
100,9781409135395,The real Katie Lavender,Erica James,Orion,2012
101,9780007361571,Only a mother knows,Annie Groves,Harper ,2013
